molecule_chembl_id,canonical_smiles,standard_value
CHEMBL183396,N/C(S)=N/N=C(/c1ccc(Cl)c(Cl)c1)C1CC1c1ccccc1,30.0
CHEMBL182790,N/C(S)=N/N=C(\COc1ccccc1)c1ccc(Cl)c(Cl)c1,30.0
CHEMBL183005,N/C(S)=N/N=C(\CCc1ccccc1)c1ccc(Cl)c(Cl)c1,40.0
CHEMBL378621,CC(=O)C1=CCCc2ccccc21,1360.0
CHEMBL213224,NC(=S)N/N=C1\CCS(=O)(=O)c2c(Br)cc(Br)cc21,820.0
CHEMBL214219,NC(=S)N/N=C1\CCS(=O)(=O)c2ccc(Br)cc21,210.0
CHEMBL215671,NC(=S)N/N=C1\CCOc2ccc(Br)cc21,110.0
CHEMBL215980,NC(=S)N/N=C1\CCCc2ccc(Br)cc21,17.0
CHEMBL385682,NC(=S)N/N=C1\CCCc2c(Br)cccc21,1200.0
CHEMBL384296,NC(=S)NN=C(c1cccc(Br)c1)c1cccc(Br)c1,24.0
CHEMBL376207,NC(=S)N/N=C(\c1ccccc1)c1cccc(Br)c1,80.0
CHEMBL213789,CC/C(=N\NC(N)=S)c1cccc(O)c1,33000.0
CHEMBL212845,NC(=S)N/N=C1\CCc2ccccc21,17000.0
CHEMBL212613,NC(=S)N/N=C1\CCc2ccccc2O1,16000.0
CHEMBL212612,NC(=S)N/N=C1/CCCC(c2ccc(Br)cc2)C1,7000.0
CHEMBL212611,NC(=S)N/N=C1/CCC(c2ccc(Br)cc2)C1,5000.0
CHEMBL212144,C/C(=N/NC(N)=S)C1=CCCc2ccccc21,20000.0
CHEMBL211974,NC(=S)N/N=C1\CCS(=O)(=O)c2ccccc21,20000.0
CHEMBL213003,NC(=S)N/N=C1\CCOc2ccccc21,17000.0
CHEMBL424886,NC(=S)N/N=C1\CCSc2ccccc21,2000.0
CHEMBL375977,CC/C(=N\NC(N)=S)c1cccc(N)c1,3640.0
CHEMBL373586,CC/C(=N\NC(N)=S)c1cccc([N+](=O)[O-])c1,860.0
CHEMBL212718,C=CC(=O)C1=CCCc2ccc(Br)cc21,800.0
CHEMBL238429,O=S(=O)(/C=C/c1ccc2c(c1)no[n+]2[O-])c1ccccc1,50000.0
CHEMBL391827,O=S(=O)(/C=C\c1ccc2c(c1)no[n+]2[O-])c1ccccc1,50000.0
CHEMBL249814,CCOC(=O)[C@H]1O[C@H]1C(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,20.0
CHEMBL91704,CN1CCN(C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)CC1,5.0
CHEMBL249815,CCOC(=O)[C@@H]1O[C@@H]1C(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,50.0
CHEMBL420256,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)C(=O)[C@H]1CO1)OCc1ccccc1,1000.0
CHEMBL330585,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)C(=O)[C@@H]1CO1)OCc1ccccc1,10.0
CHEMBL260148,CC(C)[C@H](NC(=O)OC(C)(C)C)c1nnc(S(=O)(=O)Cc2c(F)cccc2Cl)o1,1000.0
CHEMBL261812,CC(C)(C)OC(=O)NCc1nnc(S(=O)(=O)Cc2ccc(Cl)cc2Cl)o1,95000.0
CHEMBL409024,N[C@@H](Cc1cc(-c2ccc(Cl)cc2Cl)cc(CP(=O)(O)O)c1O)C(=O)O,77000.0
CHEMBL258538,O=C(O)c1ccc2c(c1)C(=O)N(C(Cc1ccc(O)cc1)C(=O)O)C2=O,10000000.0
CHEMBL259139,O=C(CC1(O)C(=O)Nc2cc(Cl)cc(Cl)c21)c1ccccc1O,73000.0
CHEMBL409906,CCOC(=O)C1=C(c2ccccc2)NC(SCC(=O)Nc2ccc(C)cc2)=C(C#N)C1c1ccco1,1000.0
CHEMBL265957,CCOC(=O)SC1=N/C(=C/c2ccc(N(C)C)cc2)C(=O)S1,1000.0
CHEMBL261259,CCCC12CN(C(=O)c3ccc(OC)cc3)CC(C)(CN(C(=O)c3ccc(OC)cc3)C1)C2=O,600000.0
CHEMBL259355,Cc1ccc(C)n1C(Cc1ccccc1)C(=O)O,1000.0
CHEMBL404954,S=C([S-])OC1CC2CC1C1CCCC21.[K+],15000.0
CHEMBL6246,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,64000.0
CHEMBL275938,O=C(O)C1=CC(=C(c2ccc(O)c(C(=O)O)c2)c2ccc(O)c(C(=O)O)c2)C=CC1=O,53000.0
CHEMBL261208,C[C@H]1[C@H]2C=C[C@@H]1[C@@H](C(=O)O)[C@@H]2c1c2ccc(=O)c(O)c-2oc2c(O)c(O)ccc12,95000.0
CHEMBL258670,O=C1C=CC2=C(Oc3c(ccc(O)c3O)/C2=C\C=C(O)O)C1=O,95000.0
CHEMBL437061,Cc1occc1C(=O)n1nnc2ccccc21,106000.0
CHEMBL261122,CCOC(=O)/C(C(C)=O)=C1\OC(=O)c2ccccc21,600000.0
